,home,away,score,season,home_stadium,away_stadium,home_coordinates,away_coordinates,distance
4908,Charlton Athletic,Everton,2–0,2004-05,The Valley,Goodison Park,"51.48639195, 0.03616296186722791","53.4387191, -2.9664539939087415",185.18026129891692
4909,Charlton Athletic,Fulham,2–1,2004-05,The Valley,Craven Cottage,"51.48639195, 0.03616296186722791","51.4749491, -0.22179448481912376",11.163201065464918
4910,Charlton Athletic,Liverpool,1–2,2004-05,The Valley,Anfield,"51.48639195, 0.03616296186722791","53.4308358, -2.9609095414165294",184.63070433859448
4911,Charlton Athletic,Manchester City,2–2,2004-05,The Valley,City of Manchester Stadium,"51.48639195, 0.03616296186722791","53.48309105, -2.2002520023433307",167.2314430491208
4912,Charlton Athletic,Manchester United,0–4,2004-05,The Valley,Old Trafford,"51.48639195, 0.03616296186722791","53.46310955, -2.2913864850545362",168.320418324326
4913,Charlton Athletic,Middlesbrough,1–2,2004-05,The Valley,Riverside Stadium,"51.48639195, 0.03616296186722791","54.57831335, -1.2169383040174622",220.08666179442443
4914,Charlton Athletic,Newcastle United,1–1,2004-05,The Valley,St James' Park,"51.48639195, 0.03616296186722791","54.9754693, -1.621873666214279",250.87724079572968
4915,Charlton Athletic,Norwich City,4–0,2004-05,The Valley,Carrow Road,"51.48639195, 0.03616296186722791","52.6219835, 1.3101317640023948",95.45820659810225
4916,Charlton Athletic,Portsmouth,2–1,2004-05,The Valley,Fratton Park,"51.48639195, 0.03616296186722791","50.79632375, -1.0638835851982424",67.55552352112966
4917,Charlton Athletic,Southampton,0–0,2004-05,The Valley,St Mary's Stadium,"51.48639195, 0.03616296186722791","50.90582665, -1.390881661218431",73.83992941366384
4918,Charlton Athletic,Tottenham Hotspur,2–0,2004-05,The Valley,Tottenham Hotspur Stadium,"51.48639195, 0.03616296186722791","51.604157, -0.0662604100000004",9.261504787707521
4919,Charlton Athletic,West Bromwich Albion,1–4,2004-05,The Valley,The Hawthorns,"51.48639195, 0.03616296186722791","52.50916535, -1.9636560652183848",110.82673526311643
4920,Chelsea,Arsenal,0–0,2004-05,Stamford Bridge,Emirates Stadium,"51.481686499999995, -0.19103517666346065","51.55504035, -0.1083996708672374",6.198360443570153
4921,Chelsea,Aston Villa,1–0,2004-05,Stamford Bridge,Villa Park,"51.481686499999995, -0.19103517666346065","52.5091264, -1.8850354312212985",101.35076227198434
4922,Chelsea,Birmingham City,1–1,2004-05,Stamford Bridge,St Andrew's,"51.481686499999995, -0.19103517666346065","52.47556705, -1.8680410459264332",99.23333336579454
4923,Chelsea,Blackburn Rovers,4–0,2004-05,Stamford Bridge,Ewood Park,"51.481686499999995, -0.19103517666346065","53.728608949999995, -2.4892582964443477",183.0028672662288
4924,Chelsea,Bolton Wanderers,2–2,2004-05,Stamford Bridge,University of Bolton Stadium,"51.481686499999995, -0.19103517666346065","53.5805396, -2.5356647666666667",175.57991600794907
4925,Chelsea,Charlton Athletic,1–0,2004-05,Stamford Bridge,The Valley,"51.481686499999995, -0.19103517666346065","51.48639195, 0.03616296186722791",9.812035435604574
4926,Chelsea,Crystal Palace,4–1,2004-05,Stamford Bridge,Selhurst Park,"51.481686499999995, -0.19103517666346065","51.39824295, -0.085255058181276",7.359596703495562
4927,Chelsea,Everton,1–0,2004-05,Stamford Bridge,Goodison Park,"51.481686499999995, -0.19103517666346065","53.4387191, -2.9664539939087415",179.00163581667778
4928,Chelsea,Fulham,3–1,2004-05,Stamford Bridge,Craven Cottage,"51.481686499999995, -0.19103517666346065","51.4749491, -0.22179448481912376",1.4071633519095739
4929,Chelsea,Liverpool,1–0,2004-05,Stamford Bridge,Anfield,"51.481686499999995, -0.19103517666346065","53.4308358, -2.9609095414165294",178.4434143984804
4930,Chelsea,Manchester City,0–0,2004-05,Stamford Bridge,City of Manchester Stadium,"51.481686499999995, -0.19103517666346065","53.48309105, -2.2002520023433307",162.2946643565301
4931,Chelsea,Manchester United,1–0,2004-05,Stamford Bridge,Old Trafford,"51.481686499999995, -0.19103517666346065","53.46310955, -2.2913864850545362",163.18575881530475
4932,Chelsea,Middlesbrough,2–0,2004-05,Stamford Bridge,Riverside Stadium,"51.481686499999995, -0.19103517666346065","54.57831335, -1.2169383040174622",218.35564491143182
4933,Chelsea,Newcastle United,4–0,2004-05,Stamford Bridge,St James' Park,"51.481686499999995, -0.19103517666346065","54.9754693, -1.621873666214279",248.77902371019547
4934,Chelsea,Norwich City,4–0,2004-05,Stamford Bridge,Carrow Road,"51.481686499999995, -0.19103517666346065","52.6219835, 1.3101317640023948",101.53343450062937
4935,Chelsea,Portsmouth,3–0,2004-05,Stamford Bridge,Fratton Park,"51.481686499999995, -0.19103517666346065","50.79632375, -1.0638835851982424",60.70759575798695
4936,Chelsea,Southampton,2–1,2004-05,Stamford Bridge,St Mary's Stadium,"51.481686499999995, -0.19103517666346065","50.90582665, -1.390881661218431",65.5802634867851
4937,Chelsea,Tottenham Hotspur,0–0,2004-05,Stamford Bridge,Tottenham Hotspur Stadium,"51.481686499999995, -0.19103517666346065","51.604157, -0.0662604100000004",10.030791911167189
4938,Chelsea,West Bromwich Albion,1–0,2004-05,Stamford Bridge,The Hawthorns,"51.481686499999995, -0.19103517666346065","52.50916535, -1.9636560652183848",103.77221175499386
4939,Crystal Palace,Arsenal,1–1,2004-05,Selhurst Park,Emirates Stadium,"51.39824295, -0.085255058181276","51.55504035, -0.1083996708672374",10.885690865162406
4940,Crystal Palace,Aston Villa,2–0,2004-05,Selhurst Park,Villa Park,"51.39824295, -0.085255058181276","52.5091264, -1.8850354312212985",108.66745620357412
4941,Crystal Palace,Birmingham City,2–0,2004-05,Selhurst Park,St Andrew's,"51.39824295, -0.085255058181276","52.47556705, -1.8680410459264332",106.54053066135212
4942,Crystal Palace,Blackburn Rovers,0–0,2004-05,Selhurst Park,Ewood Park,"51.39824295, -0.085255058181276","53.728608949999995, -2.4892582964443477",190.30309932661345
4943,Crystal Palace,Bolton Wanderers,0–1,2004-05,Selhurst Park,University of Bolton Stadium,"51.39824295, -0.085255058181276","53.5805396, -2.5356647666666667",182.91165339202854
4944,Crystal Palace,Charlton Athletic,0–1,2004-05,Selhurst Park,The Valley,"51.39824295, -0.085255058181276","51.48639195, 0.03616296186722791",8.040632643125715
4945,Crystal Palace,Chelsea,0–2,2004-05,Selhurst Park,Stamford Bridge,"51.39824295, -0.085255058181276","51.481686499999995, -0.19103517666346065",7.359596703495562
4946,Crystal Palace,Everton,1–3,2004-05,Selhurst Park,Goodison Park,"51.39824295, -0.085255058181276","53.4387191, -2.9664539939087415",186.3591878597796
4947,Crystal Palace,Fulham,2–0,2004-05,Selhurst Park,Craven Cottage,"51.39824295, -0.085255058181276","51.4749491, -0.22179448481912376",7.932554294317304
4948,Crystal Palace,Liverpool,1–0,2004-05,Selhurst Park,Anfield,"51.39824295, -0.085255058181276","53.4308358, -2.9609095414165294",185.8007769439956
4949,Crystal Palace,Manchester City,1–2,2004-05,Selhurst Park,City of Manchester Stadium,"51.39824295, -0.085255058181276","53.48309105, -2.2002520023433307",169.59046458903026
4950,Crystal Palace,Manchester United,0–0,2004-05,Selhurst Park,Old Trafford,"51.39824295, -0.085255058181276","53.46310955, -2.2913864850545362",170.50224279249758
4951,Crystal Palace,Middlesbrough,0–1,2004-05,Selhurst Park,Riverside Stadium,"51.39824295, -0.085255058181276","54.57831335, -1.2169383040174622",224.90684112836493
4952,Crystal Palace,Newcastle United,0–2,2004-05,Selhurst Park,St James' Park,"51.39824295, -0.085255058181276","54.9754693, -1.621873666214279",255.4577255236427
4953,Crystal Palace,Norwich City,3–3,2004-05,Selhurst Park,Carrow Road,"51.39824295, -0.085255058181276","52.6219835, 1.3101317640023948",103.44964760088583
4954,Crystal Palace,Portsmouth,0–1,2004-05,Selhurst Park,Fratton Park,"51.39824295, -0.085255058181276","50.79632375, -1.0638835851982424",59.5461008818945
4955,Crystal Palace,Southampton,2–2,2004-05,Selhurst Park,St Mary's Stadium,"51.39824295, -0.085255058181276","50.90582665, -1.390881661218431",66.18625495325222
4956,Crystal Palace,Tottenham Hotspur,3–0,2004-05,Selhurst Park,Tottenham Hotspur Stadium,"51.39824295, -0.085255058181276","51.604157, -0.0662604100000004",14.258910611775795
4957,Crystal Palace,West Bromwich Albion,3–0,2004-05,Selhurst Park,The Hawthorns,"51.39824295, -0.085255058181276","52.50916535, -1.9636560652183848",111.07020101297451
4958,Everton,Arsenal,1–4,2004-05,Goodison Park,Emirates Stadium,"53.4387191, -2.9664539939087415","51.55504035, -0.1083996708672374",177.48527511167492
4959,Everton,Aston Villa,1–1,2004-05,Goodison Park,Villa Park,"53.4387191, -2.9664539939087415","52.5091264, -1.8850354312212985",78.54579020949772
4960,Everton,Birmingham City,1–1,2004-05,Goodison Park,St Andrew's,"53.4387191, -2.9664539939087415","52.47556705, -1.8680410459264332",80.86587166746246
4961,Everton,Blackburn Rovers,0–1,2004-05,Goodison Park,Ewood Park,"53.4387191, -2.9664539939087415","53.728608949999995, -2.4892582964443477",28.063349279657093
4962,Everton,Bolton Wanderers,3–2,2004-05,Goodison Park,University of Bolton Stadium,"53.4387191, -2.9664539939087415","53.5805396, -2.5356647666666667",20.28720620957305
4963,Everton,Charlton Athletic,0–1,2004-05,Goodison Park,The Valley,"53.4387191, -2.9664539939087415","51.48639195, 0.03616296186722791",185.18026129891692
4964,Everton,Chelsea,0–1,2004-05,Goodison Park,Stamford Bridge,"53.4387191, -2.9664539939087415","51.481686499999995, -0.19103517666346065",179.00163581667778
4965,Everton,Crystal Palace,4–0,2004-05,Goodison Park,Selhurst Park,"53.4387191, -2.9664539939087415","51.39824295, -0.085255058181276",186.3591878597796
4966,Everton,Fulham,1–0,2004-05,Goodison Park,Craven Cottage,"53.4387191, -2.9664539939087415","51.4749491, -0.22179448481912376",178.51392094501892
4967,Everton,Liverpool,1–0,2004-05,Goodison Park,Anfield,"53.4387191, -2.9664539939087415","53.4308358, -2.9609095414165294",0.591301805512045
4968,Everton,Manchester City,2–1,2004-05,Goodison Park,City of Manchester Stadium,"53.4387191, -2.9664539939087415","53.48309105, -2.2002520023433307",31.770703950417023
4969,Everton,Manchester United,1–0,2004-05,Goodison Park,Old Trafford,"53.4387191, -2.9664539939087415","53.46310955, -2.2913864850545362",27.918500820070086
4970,Everton,Middlesbrough,1–0,2004-05,Goodison Park,Riverside Stadium,"53.4387191, -2.9664539939087415","54.57831335, -1.2169383040174622",106.25655540971366
4971,Everton,Newcastle United,2–0,2004-05,Goodison Park,St James' Park,"53.4387191, -2.9664539939087415","54.9754693, -1.621873666214279",119.44762936330277
4972,Everton,Norwich City,1–0,2004-05,Goodison Park,Carrow Road,"53.4387191, -2.9664539939087415","52.6219835, 1.3101317640023948",186.97941915263112
4973,Everton,Portsmouth,2–1,2004-05,Goodison Park,Fratton Park,"53.4387191, -2.9664539939087415","50.79632375, -1.0638835851982424",199.8185422036278
4974,Everton,Southampton,1–0,2004-05,Goodison Park,St Mary's Stadium,"53.4387191, -2.9664539939087415","50.90582665, -1.390881661218431",187.48422344566495
4975,Everton,Tottenham Hotspur,0–1,2004-05,Goodison Park,Tottenham Hotspur Stadium,"53.4387191, -2.9664539939087415","51.604157, -0.0662604100000004",176.19176657871688
4976,Everton,West Bromwich Albion,2–1,2004-05,Goodison Park,The Hawthorns,"53.4387191, -2.9664539939087415","52.50916535, -1.9636560652183848",76.70479840081111
4977,Fulham,Arsenal,0–3,2004-05,Craven Cottage,Emirates Stadium,"51.4749491, -0.22179448481912376","51.55504035, -0.1083996708672374",7.387906646616435
4978,Fulham,Aston Villa,1–1,2004-05,Craven Cottage,Villa Park,"51.4749491, -0.22179448481912376","52.5091264, -1.8850354312212985",100.75246984743121
4979,Fulham,Birmingham City,2–3,2004-05,Craven Cottage,St Andrew's,"51.4749491, -0.22179448481912376","52.47556705, -1.8680410459264332",98.62009787492694
4980,Fulham,Blackburn Rovers,0–2,2004-05,Craven Cottage,Ewood Park,"51.4749491, -0.22179448481912376","53.728608949999995, -2.4892582964443477",182.7230524806491
4981,Fulham,Bolton Wanderers,2–0,2004-05,Craven Cottage,University of Bolton Stadium,"51.4749491, -0.22179448481912376","53.5805396, -2.5356647666666667",175.24427911004358
4982,Fulham,Charlton Athletic,0–0,2004-05,Craven Cottage,The Valley,"51.4749491, -0.22179448481912376","51.48639195, 0.03616296186722791",11.163201065464918
4983,Fulham,Chelsea,1–4,2004-05,Craven Cottage,Stamford Bridge,"51.4749491, -0.22179448481912376","51.481686499999995, -0.19103517666346065",1.4071633519095739
4984,Fulham,Crystal Palace,3–1,2004-05,Craven Cottage,Selhurst Park,"51.4749491, -0.22179448481912376","51.39824295, -0.085255058181276",7.932554294317304
4985,Fulham,Everton,2–0,2004-05,Craven Cottage,Goodison Park,"51.4749491, -0.22179448481912376","53.4387191, -2.9664539939087415",178.51392094501892
4986,Fulham,Liverpool,2–4,2004-05,Craven Cottage,Anfield,"51.4749491, -0.22179448481912376","53.4308358, -2.9609095414165294",177.95427244638236
4987,Fulham,Manchester City,1–1,2004-05,Craven Cottage,City of Manchester Stadium,"51.4749491, -0.22179448481912376","53.48309105, -2.2002520023433307",162.02254092402217
4988,Fulham,Manchester United,1–1,2004-05,Craven Cottage,Old Trafford,"51.4749491, -0.22179448481912376","53.46310955, -2.2913864850545362",162.88051215849165
4989,Fulham,Middlesbrough,0–2,2004-05,Craven Cottage,Riverside Stadium,"51.4749491, -0.22179448481912376","54.57831335, -1.2169383040174622",218.56638790991244
4990,Fulham,Newcastle United,1–3,2004-05,Craven Cottage,St James' Park,"51.4749491, -0.22179448481912376","54.9754693, -1.621873666214279",248.93202285948087
4991,Fulham,Norwich City,6–0,2004-05,Craven Cottage,Carrow Road,"51.4749491, -0.22179448481912376","52.6219835, 1.3101317640023948",102.72678874507164
4992,Fulham,Portsmouth,3–1,2004-05,Craven Cottage,Fratton Park,"51.4749491, -0.22179448481912376","50.79632375, -1.0638835851982424",59.51417734243551
4993,Fulham,Southampton,1–0,2004-05,Craven Cottage,St Mary's Stadium,"51.4749491, -0.22179448481912376","50.90582665, -1.390881661218431",64.24028078658343
4994,Fulham,Tottenham Hotspur,2–0,2004-05,Craven Cottage,Tottenham Hotspur Stadium,"51.4749491, -0.22179448481912376","51.604157, -0.0662604100000004",11.169142390242062
4995,Fulham,West Bromwich Albion,1–0,2004-05,Craven Cottage,The Hawthorns,"51.4749491, -0.22179448481912376","52.50916535, -1.9636560652183848",103.14564431999956
4996,Liverpool,Arsenal,2–1,2004-05,Anfield,Emirates Stadium,"53.4308358, -2.9609095414165294","51.55504035, -0.1083996708672374",176.93396001775898
4997,Liverpool,Aston Villa,2–1,2004-05,Anfield,Villa Park,"53.4308358, -2.9609095414165294","52.5091264, -1.8850354312212985",77.9691240039508
4998,Liverpool,Birmingham City,0–1,2004-05,Anfield,St Andrew's,"53.4308358, -2.9609095414165294","52.47556705, -1.8680410459264332",80.28804324619209
4999,Liverpool,Blackburn Rovers,0–0,2004-05,Anfield,Ewood Park,"53.4308358, -2.9609095414165294","53.728608949999995, -2.4892582964443477",28.299620124746006
5000,Liverpool,Bolton Wanderers,1–0,2004-05,Anfield,University of Bolton Stadium,"53.4308358, -2.9609095414165294","53.5805396, -2.5356647666666667",20.360569157481454
5001,Liverpool,Charlton Athletic,2–0,2004-05,Anfield,The Valley,"53.4308358, -2.9609095414165294","51.48639195, 0.03616296186722791",184.63070433859448
5002,Liverpool,Chelsea,0–1,2004-05,Anfield,Stamford Bridge,"53.4308358, -2.9609095414165294","51.481686499999995, -0.19103517666346065",178.4434143984804
5003,Liverpool,Crystal Palace,3–2,2004-05,Anfield,Selhurst Park,"53.4308358, -2.9609095414165294","51.39824295, -0.085255058181276",185.8007769439956
5004,Liverpool,Everton,2–1,2004-05,Anfield,Goodison Park,"53.4308358, -2.9609095414165294","53.4387191, -2.9664539939087415",0.591301805512045
5005,Liverpool,Fulham,3–1,2004-05,Anfield,Craven Cottage,"53.4308358, -2.9609095414165294","51.4749491, -0.22179448481912376",177.95427244638236
5006,Liverpool,Manchester City,2–1,2004-05,Anfield,City of Manchester Stadium,"53.4308358, -2.9609095414165294","53.48309105, -2.2002520023433307",31.6035370482976
5007,Liverpool,Manchester United,0–1,2004-05,Anfield,Old Trafford,"53.4308358, -2.9609095414165294","53.46310955, -2.2913864850545362",27.731141521908608
5008,Liverpool,Middlesbrough,1–1,2004-05,Anfield,Riverside Stadium,"53.4308358, -2.9609095414165294","54.57831335, -1.2169383040174622",106.51522111985531
5009,Liverpool,Newcastle United,3–1,2004-05,Anfield,St James' Park,"53.4308358, -2.9609095414165294","54.9754693, -1.621873666214279",119.83332074626148
5010,Liverpool,Norwich City,3–0,2004-05,Anfield,Carrow Road,"53.4308358, -2.9609095414165294","52.6219835, 1.3101317640023948",186.6107228899
5011,Liverpool,Portsmouth,1–1,2004-05,Anfield,Fratton Park,"53.4308358, -2.9609095414165294","50.79632375, -1.0638835851982424",199.22755812581863
5012,Liverpool,Southampton,1–0,2004-05,Anfield,St Mary's Stadium,"53.4308358, -2.9609095414165294","50.90582665, -1.390881661218431",186.89305817352593
5013,Liverpool,Tottenham Hotspur,2–2,2004-05,Anfield,Tottenham Hotspur Stadium,"53.4308358, -2.9609095414165294","51.604157, -0.0662604100000004",175.64496040805957
5014,Liverpool,West Bromwich Albion,3–0,2004-05,Anfield,The Hawthorns,"53.4308358, -2.9609095414165294","52.50916535, -1.9636560652183848",76.1238369130986
5015,Manchester City,Arsenal,0–1,2004-05,City of Manchester Stadium,Emirates Stadium,"53.48309105, -2.2002520023433307","51.55504035, -0.1083996708672374",159.8517463773558
5016,Manchester City,Aston Villa,2–0,2004-05,City of Manchester Stadium,Villa Park,"53.48309105, -2.2002520023433307","52.5091264, -1.8850354312212985",68.6214665274914
5017,Manchester City,Birmingham City,3–0,2004-05,City of Manchester Stadium,St Andrew's,"53.48309105, -2.2002520023433307","52.47556705, -1.8680410459264332",71.03623228717652
5018,Manchester City,Blackburn Rovers,1–1,2004-05,City of Manchester Stadium,Ewood Park,"53.48309105, -2.2002520023433307","53.728608949999995, -2.4892582964443477",20.726747117272108
5019,Manchester City,Bolton Wanderers,0–1,2004-05,City of Manchester Stadium,University of Bolton Stadium,"53.48309105, -2.2002520023433307","53.5805396, -2.5356647666666667",15.375503792806242
5020,Manchester City,Charlton Athletic,4–0,2004-05,City of Manchester Stadium,The Valley,"53.48309105, -2.2002520023433307","51.48639195, 0.03616296186722791",167.2314430491208
5021,Manchester City,Chelsea,1–0,2004-05,City of Manchester Stadium,Stamford Bridge,"53.48309105, -2.2002520023433307","51.481686499999995, -0.19103517666346065",162.2946643565301
5022,Manchester City,Crystal Palace,3–1,2004-05,City of Manchester Stadium,Selhurst Park,"53.48309105, -2.2002520023433307","51.39824295, -0.085255058181276",169.59046458903026
5023,Manchester City,Everton,0–1,2004-05,City of Manchester Stadium,Goodison Park,"53.48309105, -2.2002520023433307","53.4387191, -2.9664539939087415",31.770703950417023
5024,Manchester City,Fulham,1–1,2004-05,City of Manchester Stadium,Craven Cottage,"53.48309105, -2.2002520023433307","51.4749491, -0.22179448481912376",162.02254092402217
5025,Manchester City,Liverpool,1–0,2004-05,City of Manchester Stadium,Anfield,"53.48309105, -2.2002520023433307","53.4308358, -2.9609095414165294",31.6035370482976
5026,Manchester City,Manchester United,0–2,2004-05,City of Manchester Stadium,Old Trafford,"53.48309105, -2.2002520023433307","53.46310955, -2.2913864850545362",4.006048248062613
5027,Manchester City,Middlesbrough,1–1,2004-05,City of Manchester Stadium,Riverside Stadium,"53.48309105, -2.2002520023433307","54.57831335, -1.2169383040174622",85.67603779679666
5028,Manchester City,Newcastle United,1–1,2004-05,City of Manchester Stadium,St James' Park,"53.48309105, -2.2002520023433307","54.9754693, -1.621873666214279",105.84583767116422
5029,Manchester City,Norwich City,1–1,2004-05,City of Manchester Stadium,Carrow Road,"53.48309105, -2.2002520023433307","52.6219835, 1.3101317640023948",157.90022532939307
5030,Manchester City,Portsmouth,2–0,2004-05,City of Manchester Stadium,Fratton Park,"53.48309105, -2.2002520023433307","50.79632375, -1.0638835851982424",191.9434830060542
5031,Manchester City,Southampton,2–1,2004-05,City of Manchester Stadium,St Mary's Stadium,"53.48309105, -2.2002520023433307","50.90582665, -1.390881661218431",181.4783619609462
5032,Manchester City,Tottenham Hotspur,0–1,2004-05,City of Manchester Stadium,Tottenham Hotspur Stadium,"53.48309105, -2.2002520023433307","51.604157, -0.0662604100000004",158.00800634475294
5033,Manchester City,West Bromwich Albion,1–1,2004-05,City of Manchester Stadium,The Hawthorns,"53.48309105, -2.2002520023433307","52.50916535, -1.9636560652183848",68.06643159880863
5034,Manchester United,Arsenal,2–0,2004-05,Old Trafford,Emirates Stadium,"53.46310955, -2.2913864850545362","51.55504035, -0.1083996708672374",160.88072413971335
5035,Manchester United,Aston Villa,3–1,2004-05,Old Trafford,Villa Park,"53.46310955, -2.2913864850545362","52.5091264, -1.8850354312212985",68.1121370516169
5036,Manchester United,Birmingham City,2–0,2004-05,Old Trafford,St Andrew's,"53.46310955, -2.2913864850545362","52.47556705, -1.8680410459264332",70.53782661153143
5037,Manchester United,Blackburn Rovers,0–0,2004-05,Old Trafford,Ewood Park,"53.46310955, -2.2913864850545362","53.728608949999995, -2.4892582964443477",20.084811044044887
5038,Manchester United,Bolton Wanderers,2–0,2004-05,Old Trafford,University of Bolton Stadium,"53.46310955, -2.2913864850545362","53.5805396, -2.5356647666666667",12.934491018986645
5039,Manchester United,Charlton Athletic,2–0,2004-05,Old Trafford,The Valley,"53.46310955, -2.2913864850545362","51.48639195, 0.03616296186722791",168.320418324326
5040,Manchester United,Chelsea,1–3,2004-05,Old Trafford,Stamford Bridge,"53.46310955, -2.2913864850545362","51.481686499999995, -0.19103517666346065",163.18575881530475
5041,Manchester United,Crystal Palace,5–2,2004-05,Old Trafford,Selhurst Park,"53.46310955, -2.2913864850545362","51.39824295, -0.085255058181276",170.50224279249758
5042,Manchester United,Everton,0–0,2004-05,Old Trafford,Goodison Park,"53.46310955, -2.2913864850545362","53.4387191, -2.9664539939087415",27.918500820070086
5043,Manchester United,Fulham,1–0,2004-05,Old Trafford,Craven Cottage,"53.46310955, -2.2913864850545362","51.4749491, -0.22179448481912376",162.88051215849165
5044,Manchester United,Liverpool,2–1,2004-05,Old Trafford,Anfield,"53.46310955, -2.2913864850545362","53.4308358, -2.9609095414165294",27.731141521908608
5045,Manchester United,Manchester City,0–0,2004-05,Old Trafford,City of Manchester Stadium,"53.46310955, -2.2913864850545362","53.48309105, -2.2002520023433307",4.006048248062613
5046,Manchester United,Middlesbrough,1–1,2004-05,Old Trafford,Riverside Stadium,"53.46310955, -2.2913864850545362","54.57831335, -1.2169383040174622",88.67563501444776
5047,Manchester United,Newcastle United,2–1,2004-05,Old Trafford,St James' Park,"53.46310955, -2.2913864850545362","54.9754693, -1.621873666214279",108.06264935608701
5048,Manchester United,Norwich City,2–1,2004-05,Old Trafford,Carrow Road,"53.46310955, -2.2913864850545362","52.6219835, 1.3101317640023948",160.9503053331535
5049,Manchester United,Portsmouth,2–1,2004-05,Old Trafford,Fratton Park,"53.46310955, -2.2913864850545362","50.79632375, -1.0638835851982424",191.62861646427288
5050,Manchester United,Southampton,3–0,2004-05,Old Trafford,St Mary's Stadium,"53.46310955, -2.2913864850545362","50.90582665, -1.390881661218431",180.9020488221547
5051,Manchester United,Tottenham Hotspur,0–0,2004-05,Old Trafford,Tottenham Hotspur Stadium,"53.46310955, -2.2913864850545362","51.604157, -0.0662604100000004",159.11937083497463
5052,Manchester United,West Bromwich Albion,1–1,2004-05,Old Trafford,The Hawthorns,"53.46310955, -2.2913864850545362","52.50916535, -1.9636560652183848",67.36777876290611
5053,Middlesbrough,Arsenal,0–1,2004-05,Riverside Stadium,Emirates Stadium,"54.57831335, -1.2169383040174622","51.55504035, -0.1083996708672374",214.09270489596466
5054,Middlesbrough,Aston Villa,3–0,2004-05,Riverside Stadium,Villa Park,"54.57831335, -1.2169383040174622","52.5091264, -1.8850354312212985",145.71786411235846
5055,Middlesbrough,Birmingham City,2–1,2004-05,Riverside Stadium,St Andrew's,"54.57831335, -1.2169383040174622","52.47556705, -1.8680410459264332",147.8706117564057
5056,Middlesbrough,Blackburn Rovers,1–0,2004-05,Riverside Stadium,Ewood Park,"54.57831335, -1.2169383040174622","53.728608949999995, -2.4892582964443477",78.23867108974922
5057,Middlesbrough,Bolton Wanderers,1–1,2004-05,Riverside Stadium,University of Bolton Stadium,"54.57831335, -1.2169383040174622","53.5805396, -2.5356647666666667",87.39553467679795
5058,Middlesbrough,Charlton Athletic,2–2,2004-05,Riverside Stadium,The Valley,"54.57831335, -1.2169383040174622","51.48639195, 0.03616296186722791",220.08666179442443
5059,Middlesbrough,Chelsea,0–1,2004-05,Riverside Stadium,Stamford Bridge,"54.57831335, -1.2169383040174622","51.481686499999995, -0.19103517666346065",218.35564491143182
5060,Middlesbrough,Crystal Palace,2–1,2004-05,Riverside Stadium,Selhurst Park,"54.57831335, -1.2169383040174622","51.39824295, -0.085255058181276",224.90684112836493
5061,Middlesbrough,Everton,1–1,2004-05,Riverside Stadium,Goodison Park,"54.57831335, -1.2169383040174622","53.4387191, -2.9664539939087415",106.25655540971366
5062,Middlesbrough,Fulham,1–1,2004-05,Riverside Stadium,Craven Cottage,"54.57831335, -1.2169383040174622","51.4749491, -0.22179448481912376",218.56638790991244
5063,Middlesbrough,Liverpool,2–0,2004-05,Riverside Stadium,Anfield,"54.57831335, -1.2169383040174622","53.4308358, -2.9609095414165294",106.51522111985531
5064,Middlesbrough,Manchester City,3–2,2004-05,Riverside Stadium,City of Manchester Stadium,"54.57831335, -1.2169383040174622","53.48309105, -2.2002520023433307",85.67603779679666
5065,Middlesbrough,Manchester United,0–2,2004-05,Riverside Stadium,Old Trafford,"54.57831335, -1.2169383040174622","53.46310955, -2.2913864850545362",88.67563501444776
5066,Middlesbrough,Newcastle United,2–2,2004-05,Riverside Stadium,St James' Park,"54.57831335, -1.2169383040174622","54.9754693, -1.621873666214279",31.887772177146843
5067,Middlesbrough,Norwich City,2–0,2004-05,Riverside Stadium,Carrow Road,"54.57831335, -1.2169383040174622","52.6219835, 1.3101317640023948",170.59607086626818
5068,Middlesbrough,Portsmouth,1–1,2004-05,Riverside Stadium,Fratton Park,"54.57831335, -1.2169383040174622","50.79632375, -1.0638835851982424",261.58967505422765
5069,Middlesbrough,Southampton,1–3,2004-05,Riverside Stadium,St Mary's Stadium,"54.57831335, -1.2169383040174622","50.90582665, -1.390881661218431",254.0461031948454
5070,Middlesbrough,Tottenham Hotspur,1–0,2004-05,Riverside Stadium,Tottenham Hotspur Stadium,"54.57831335, -1.2169383040174622","51.604157, -0.0662604100000004",211.16309542349074
5071,Middlesbrough,West Bromwich Albion,4–0,2004-05,Riverside Stadium,The Hawthorns,"54.57831335, -1.2169383040174622","52.50916535, -1.9636560652183848",146.36092118418628
5072,Newcastle United,Arsenal,0–1,2004-05,St James' Park,Emirates Stadium,"54.9754693, -1.621873666214279","51.55504035, -0.1083996708672374",244.6997741220001
5073,Newcastle United,Aston Villa,0–3,2004-05,St James' Park,Villa Park,"54.9754693, -1.621873666214279","52.5091264, -1.8850354312212985",170.90961542317442
5074,Newcastle United,Birmingham City,2–1,2004-05,St James' Park,St Andrew's,"54.9754693, -1.621873666214279","52.47556705, -1.8680410459264332",173.183755409869
5075,Newcastle United,Blackburn Rovers,3–0,2004-05,St James' Park,Ewood Park,"54.9754693, -1.621873666214279","53.728608949999995, -2.4892582964443477",93.08657264635784
5076,Newcastle United,Bolton Wanderers,2–1,2004-05,St James' Park,University of Bolton Stadium,"54.9754693, -1.621873666214279","53.5805396, -2.5356647666666667",103.32418792013067
