,home,away,score,season,home_stadium,away_stadium,home_coordinates,away_coordinates,distance
59,Blackburn Rovers,Sheffield Wednesday,1–0,1992-93,Ewood Park,Hillsborough,"53.728608949999995, -2.4892582964443477","53.41137895, -1.500631103337827",46.23346646148661
60,Blackburn Rovers,Southampton,0–0,1992-93,Ewood Park,St Mary's Stadium,"53.728608949999995, -2.4892582964443477","50.90582665, -1.390881661218431",200.63851018361322
61,Blackburn Rovers,Tottenham Hotspur,0–2,1992-93,Ewood Park,Tottenham Hotspur Stadium,"53.728608949999995, -2.4892582964443477","51.604157, -0.0662604100000004",178.73349249119713
62,Blackburn Rovers,Wimbledon,0–0,1992-93,Ewood Park,Selhurst Park,"53.728608949999995, -2.4892582964443477","51.39824295, -0.085255058181276",190.30309932661345
63,Chelsea,Arsenal,1–0,1992-93,Stamford Bridge,Emirates Stadium,"51.481686499999995, -0.19103517666346065","51.55504035, -0.1083996708672374",6.198360443570153
64,Chelsea,Aston Villa,0–1,1992-93,Stamford Bridge,Villa Park,"51.481686499999995, -0.19103517666346065","52.5091264, -1.8850354312212985",101.35076227198434
65,Chelsea,Blackburn Rovers,0–0,1992-93,Stamford Bridge,Ewood Park,"51.481686499999995, -0.19103517666346065","53.728608949999995, -2.4892582964443477",183.0028672662288
66,Chelsea,Coventry City,2–1,1992-93,Stamford Bridge,Coventry Building Society Arena,"51.481686499999995, -0.19103517666346065","52.44816495, -1.4971183945757918",87.03934059838708
67,Chelsea,Crystal Palace,3–1,1992-93,Stamford Bridge,Selhurst Park,"51.481686499999995, -0.19103517666346065","51.39824295, -0.085255058181276",7.359596703495562
68,Chelsea,Everton,2–1,1992-93,Stamford Bridge,Goodison Park,"51.481686499999995, -0.19103517666346065","53.4387191, -2.9664539939087415",179.00163581667778
69,Chelsea,Ipswich Town,2–1,1992-93,Stamford Bridge,Portman Road,"51.481686499999995, -0.19103517666346065","52.0572985, 1.145841",69.79717716352155
70,Chelsea,Leeds United,1–0,1992-93,Stamford Bridge,Elland Road,"51.481686499999995, -0.19103517666346065","53.764161, -1.5832414",168.3368262288748
71,Chelsea,Liverpool,0–0,1992-93,Stamford Bridge,Anfield,"51.481686499999995, -0.19103517666346065","53.4308358, -2.9609095414165294",178.4434143984804
72,Chelsea,Manchester City,2–4,1992-93,Stamford Bridge,City of Manchester Stadium,"51.481686499999995, -0.19103517666346065","53.48309105, -2.2002520023433307",162.2946643565301
73,Chelsea,Manchester United,1–1,1992-93,Stamford Bridge,Old Trafford,"51.481686499999995, -0.19103517666346065","53.46310955, -2.2913864850545362",163.18575881530475
74,Chelsea,Middlesbrough,4–0,1992-93,Stamford Bridge,Riverside Stadium,"51.481686499999995, -0.19103517666346065","54.57831335, -1.2169383040174622",218.35564491143182
75,Chelsea,Norwich City,2–3,1992-93,Stamford Bridge,Carrow Road,"51.481686499999995, -0.19103517666346065","52.6219835, 1.3101317640023948",101.53343450062937
76,Chelsea,Nottingham Forest,0–0,1992-93,Stamford Bridge,City Ground,"51.481686499999995, -0.19103517666346065","52.93993865, -1.1328954461216225",108.46859038125704
77,Chelsea,Oldham Athletic,1–1,1992-93,Stamford Bridge,Boundary Park,"51.481686499999995, -0.19103517666346065","53.555117800000005, -2.128417592493478",165.00582203754536
78,Chelsea,Queens Park Rangers,1–0,1992-93,Stamford Bridge,Loftus Road,"51.481686499999995, -0.19103517666346065","51.5420327, 0.0769485",12.289798282520538
79,Chelsea,Sheffield United,1–2,1992-93,Stamford Bridge,Bramall Lane,"51.481686499999995, -0.19103517666346065","53.3703478, -1.4697008060650654",141.3248201035489
80,Chelsea,Sheffield Wednesday,0–2,1992-93,Stamford Bridge,Hillsborough,"51.481686499999995, -0.19103517666346065","53.41137895, -1.500631103337827",144.43637338879628
81,Chelsea,Southampton,1–1,1992-93,Stamford Bridge,St Mary's Stadium,"51.481686499999995, -0.19103517666346065","50.90582665, -1.390881661218431",65.5802634867851
82,Chelsea,Tottenham Hotspur,1–1,1992-93,Stamford Bridge,Tottenham Hotspur Stadium,"51.481686499999995, -0.19103517666346065","51.604157, -0.0662604100000004",10.030791911167189
83,Chelsea,Wimbledon,4–2,1992-93,Stamford Bridge,Selhurst Park,"51.481686499999995, -0.19103517666346065","51.39824295, -0.085255058181276",7.359596703495562
84,Coventry City,Arsenal,0–2,1992-93,Coventry Building Society Arena,Emirates Stadium,"52.44816495, -1.4971183945757918","51.55504035, -0.1083996708672374",85.5819757211837
85,Coventry City,Aston Villa,3–0,1992-93,Coventry Building Society Arena,Villa Park,"52.44816495, -1.4971183945757918","52.5091264, -1.8850354312212985",16.910765630556863
86,Coventry City,Blackburn Rovers,0–2,1992-93,Coventry Building Society Arena,Ewood Park,"52.44816495, -1.4971183945757918","53.728608949999995, -2.4892582964443477",97.70189407229132
87,Coventry City,Chelsea,1–2,1992-93,Coventry Building Society Arena,Stamford Bridge,"52.44816495, -1.4971183945757918","51.481686499999995, -0.19103517666346065",87.03934059838708
88,Coventry City,Crystal Palace,2–2,1992-93,Coventry Building Society Arena,Selhurst Park,"52.44816495, -1.4971183945757918","51.39824295, -0.085255058181276",94.39807814675396
89,Coventry City,Everton,0–1,1992-93,Coventry Building Society Arena,Goodison Park,"52.44816495, -1.4971183945757918","53.4387191, -2.9664539939087415",91.96790469783642
90,Coventry City,Ipswich Town,2–2,1992-93,Coventry Building Society Arena,Portman Road,"52.44816495, -1.4971183945757918","52.0572985, 1.145841",115.35367283584917
91,Coventry City,Leeds United,3–3,1992-93,Coventry Building Society Arena,Elland Road,"52.44816495, -1.4971183945757918","53.764161, -1.5832414",91.0733851350599
92,Coventry City,Liverpool,5–1,1992-93,Coventry Building Society Arena,Anfield,"52.44816495, -1.4971183945757918","53.4308358, -2.9609095414165294",91.41131000804616
93,Coventry City,Manchester City,2–3,1992-93,Coventry Building Society Arena,City of Manchester Stadium,"52.44816495, -1.4971183945757918","53.48309105, -2.2002520023433307",77.35077533336262
94,Coventry City,Manchester United,0–1,1992-93,Coventry Building Society Arena,Old Trafford,"52.44816495, -1.4971183945757918","53.46310955, -2.2913864850545362",77.62480229477733
95,Coventry City,Middlesbrough,2–1,1992-93,Coventry Building Society Arena,Riverside Stadium,"52.44816495, -1.4971183945757918","54.57831335, -1.2169383040174622",147.76434149094953
96,Coventry City,Norwich City,1–1,1992-93,Coventry Building Society Arena,Carrow Road,"52.44816495, -1.4971183945757918","52.6219835, 1.3101317640023948",118.96545967658955
97,Coventry City,Nottingham Forest,0–1,1992-93,Coventry Building Society Arena,City Ground,"52.44816495, -1.4971183945757918","52.93993865, -1.1328954461216225",37.28844993682379
98,Coventry City,Oldham Athletic,3–0,1992-93,Coventry Building Society Arena,Boundary Park,"52.44816495, -1.4971183945757918","53.555117800000005, -2.128417592493478",80.94853864286951
99,Coventry City,Queens Park Rangers,0–1,1992-93,Coventry Building Society Arena,Loftus Road,"52.44816495, -1.4971183945757918","51.5420327, 0.0769485",91.85440428904359
100,Coventry City,Sheffield United,1–3,1992-93,Coventry Building Society Arena,Bramall Lane,"52.44816495, -1.4971183945757918","53.3703478, -1.4697008060650654",63.77833524300901
101,Coventry City,Sheffield Wednesday,1–0,1992-93,Coventry Building Society Arena,Hillsborough,"52.44816495, -1.4971183945757918","53.41137895, -1.500631103337827",66.60569299159363
102,Coventry City,Southampton,2–0,1992-93,Coventry Building Society Arena,St Mary's Stadium,"52.44816495, -1.4971183945757918","50.90582665, -1.390881661218431",106.72647641065437
103,Coventry City,Tottenham Hotspur,1–0,1992-93,Coventry Building Society Arena,Tottenham Hotspur Stadium,"52.44816495, -1.4971183945757918","51.604157, -0.0662604100000004",84.43188004300724
104,Coventry City,Wimbledon,0–2,1992-93,Coventry Building Society Arena,Selhurst Park,"52.44816495, -1.4971183945757918","51.39824295, -0.085255058181276",94.39807814675396
105,Crystal Palace,Arsenal,1–2,1992-93,Selhurst Park,Emirates Stadium,"51.39824295, -0.085255058181276","51.55504035, -0.1083996708672374",10.885690865162406
106,Crystal Palace,Aston Villa,1–0,1992-93,Selhurst Park,Villa Park,"51.39824295, -0.085255058181276","52.5091264, -1.8850354312212985",108.66745620357412
107,Crystal Palace,Blackburn Rovers,3–3,1992-93,Selhurst Park,Ewood Park,"51.39824295, -0.085255058181276","53.728608949999995, -2.4892582964443477",190.30309932661345
108,Crystal Palace,Chelsea,1–1,1992-93,Selhurst Park,Stamford Bridge,"51.39824295, -0.085255058181276","51.481686499999995, -0.19103517666346065",7.359596703495562
109,Crystal Palace,Coventry City,0–0,1992-93,Selhurst Park,Coventry Building Society Arena,"51.39824295, -0.085255058181276","52.44816495, -1.4971183945757918",94.39807814675396
110,Crystal Palace,Everton,0–2,1992-93,Selhurst Park,Goodison Park,"51.39824295, -0.085255058181276","53.4387191, -2.9664539939087415",186.3591878597796
111,Crystal Palace,Ipswich Town,3–1,1992-93,Selhurst Park,Portman Road,"51.39824295, -0.085255058181276","52.0572985, 1.145841",69.78125384273058
112,Crystal Palace,Leeds United,1–0,1992-93,Selhurst Park,Elland Road,"51.39824295, -0.085255058181276","53.764161, -1.5832414",175.3270901268361
113,Crystal Palace,Liverpool,1–1,1992-93,Selhurst Park,Anfield,"51.39824295, -0.085255058181276","53.4308358, -2.9609095414165294",185.8007769439956
114,Crystal Palace,Manchester City,0–0,1992-93,Selhurst Park,City of Manchester Stadium,"51.39824295, -0.085255058181276","53.48309105, -2.2002520023433307",169.59046458903026
115,Crystal Palace,Manchester United,0–2,1992-93,Selhurst Park,Old Trafford,"51.39824295, -0.085255058181276","53.46310955, -2.2913864850545362",170.50224279249758
116,Crystal Palace,Middlesbrough,4–1,1992-93,Selhurst Park,Riverside Stadium,"51.39824295, -0.085255058181276","54.57831335, -1.2169383040174622",224.90684112836493
117,Crystal Palace,Norwich City,1–2,1992-93,Selhurst Park,Carrow Road,"51.39824295, -0.085255058181276","52.6219835, 1.3101317640023948",103.44964760088583
118,Crystal Palace,Nottingham Forest,1–1,1992-93,Selhurst Park,City Ground,"51.39824295, -0.085255058181276","52.93993865, -1.1328954461216225",115.52100218314318
119,Crystal Palace,Oldham Athletic,2–2,1992-93,Selhurst Park,Boundary Park,"51.39824295, -0.085255058181276","53.555117800000005, -2.128417592493478",172.26852415626698
120,Crystal Palace,Queens Park Rangers,1–1,1992-93,Selhurst Park,Loftus Road,"51.39824295, -0.085255058181276","51.5420327, 0.0769485",12.159787325079643
121,Crystal Palace,Sheffield United,2–0,1992-93,Selhurst Park,Bramall Lane,"51.39824295, -0.085255058181276","53.3703478, -1.4697008060650654",148.39774486394313
122,Crystal Palace,Sheffield Wednesday,1–1,1992-93,Selhurst Park,Hillsborough,"51.39824295, -0.085255058181276","53.41137895, -1.500631103337827",151.5099332320639
123,Crystal Palace,Southampton,1–2,1992-93,Selhurst Park,St Mary's Stadium,"51.39824295, -0.085255058181276","50.90582665, -1.390881661218431",66.18625495325222
124,Crystal Palace,Tottenham Hotspur,1–3,1992-93,Selhurst Park,Tottenham Hotspur Stadium,"51.39824295, -0.085255058181276","51.604157, -0.0662604100000004",14.258910611775795
125,Crystal Palace,Wimbledon,2–0,1992-93,Selhurst Park,Selhurst Park,"51.39824295, -0.085255058181276","51.39824295, -0.085255058181276",0.0
126,Everton,Arsenal,0–0,1992-93,Goodison Park,Emirates Stadium,"53.4387191, -2.9664539939087415","51.55504035, -0.1083996708672374",177.48527511167492
127,Everton,Aston Villa,1–0,1992-93,Goodison Park,Villa Park,"53.4387191, -2.9664539939087415","52.5091264, -1.8850354312212985",78.54579020949772
128,Everton,Blackburn Rovers,2–1,1992-93,Goodison Park,Ewood Park,"53.4387191, -2.9664539939087415","53.728608949999995, -2.4892582964443477",28.063349279657093
129,Everton,Chelsea,0–1,1992-93,Goodison Park,Stamford Bridge,"53.4387191, -2.9664539939087415","51.481686499999995, -0.19103517666346065",179.00163581667778
130,Everton,Coventry City,1–1,1992-93,Goodison Park,Coventry Building Society Arena,"53.4387191, -2.9664539939087415","52.44816495, -1.4971183945757918",91.96790469783642
131,Everton,Crystal Palace,0–2,1992-93,Goodison Park,Selhurst Park,"53.4387191, -2.9664539939087415","51.39824295, -0.085255058181276",186.3591878597796
132,Everton,Ipswich Town,3–0,1992-93,Goodison Park,Portman Road,"53.4387191, -2.9664539939087415","52.0572985, 1.145841",197.18237194210818
133,Everton,Leeds United,2–0,1992-93,Goodison Park,Elland Road,"53.4387191, -2.9664539939087415","53.764161, -1.5832414",61.18693529240892
